,title,year,artist,img link
0,Holyland,1961,John Bratby,https://uploads4.wikiart.org/images/john-bratby/holyland-1961.jpg
1,The Dressmaker,1982,Conrad Marca-Relli,https://uploads8.wikiart.org/images/conrad-marca-relli/the-dressmaker-1982.jpg
2,Salome,XIX-XX cent.,Jules Pascin,https://uploads7.wikiart.org/images/jules-pascin/salome.jpg
3,From a Riviera Window,1955,Jock Macdonald,https://uploads2.wikiart.org/images/jock-macdonald/from-a-riviera-window-1955.jpg
4,Prisoners Exercising (Prisoners Round),1890,Vincent van Gogh,https://uploads1.wikiart.org/images/vincent-van-gogh/prisoners-exercising-prisoners-round-1890.jpg
5,Flowers Large Bouquet with Three Peonies,1879,Henri Fantin-Latour,https://uploads8.wikiart.org/images/henri-fantin-latour/flowers-large-bouquet-with-three-peonies-1879.jpg
6,The Wash,1940,Horace Pippin,https://uploads6.wikiart.org/images/horace-pippin/the-wash-1940.jpg
7,Randolph Churchill Reading,XIX-XX cent.,Winston Churchill,https://uploads8.wikiart.org/images/winston-churchill/randolph-churchill-reading(1).jpg
8,La Vigilia,1978,Benjamin Canas,https://uploads0.wikiart.org/images/benjamin-canas/la-vigilia-1978.jpg
9,The Howl of Terror,1967,Ronnie Landfield,https://uploads1.wikiart.org/images/ronnie-landfield/the-howl-of-terror-1967.jpg
10,The Crucifixion,1475,Gerard David,https://uploads7.wikiart.org/images/gerard-david/the-crucifixion.jpg
11,Buried Appearence,2007,Kishio Suga,https://uploads4.wikiart.org/images/kishio-suga/buried-appearence-2007.jpg
12,unknown title,XIX-XX cent.,Seraphine Louis,https://uploads8.wikiart.org/images/seraphine-louis/unknown-title.jpg
13,For Sale,1962,Billy Apple,https://uploads4.wikiart.org/images/billy-apple/for-sale-1962.jpg
14,"Cranes, Hares",XX cent.,Kasumi Bunsho,https://uploads5.wikiart.org/images/kasumi-bunsho/cranes-hares.jpg
15,Farbwanne,1984,Gotthard Graubner,https://uploads2.wikiart.org/images/gotthard-graubner/farbwanne-1984.jpg
16,Golden Pheasant and Cotton Rose Flowers,XI-XII cent.,Emperor Huizong,https://uploads7.wikiart.org/images/emperor-huizong/golden-pheasant-and-cotton-rose-flowers.jpg
17,High Water Mark,1984,Neil Welliver,https://uploads8.wikiart.org/images/neil-welliver/high-water-mark.jpg
18,Autoportrait au fouet,XX cent.,Pierre Molinier,https://uploads7.wikiart.org/images/pierre-molinier/autoportrait-au-fouet.jpg
19,Quill,1971,Phillip King,https://uploads2.wikiart.org/images/phillip-king/quill-1971.jpg
20,"Wipe Fascism off the Face of the Earth! (Front page of the \u0027Moscow News\u0027, 27th June 1941)",1941,Kukryniksy,https://uploads6.wikiart.org/images/kukryniksy/wipe-fascism-off-the-face-of-the-earth-front-page-of-the-moscow-news-27th-june-1941-1941.jpg
21,Cell No. 4 (Prototype),1992,Absalon,https://uploads2.wikiart.org/images/absalon/cell-no-4-prototype-1992.jpg
22,Cossack Fighting off a Tiger,1811,Alexander Orlowski,https://uploads4.wikiart.org/images/alexander-orlowski/cossack-fighting-off-a-tiger-1811.jpg
23,Portrait of Mrs. Howe,1900,Alfred Stevens,https://uploads1.wikiart.org/images/alfred-stevens/portrait-of-mrs-howe-1900.jpg
24,The Challenge,1844,Edwin Henry Landseer,https://uploads4.wikiart.org/images/edwin-henry-landseer/the-challenge.jpg
25,"Untitled Landscape, Woodstock (No.D153)",1962,Arthur Pinajian,https://uploads0.wikiart.org/images/arthur-pinajian/untitled-landscape-woodstock-no-d153-1962.jpg
26,The Dropsical Woman,1663,Gerrit Dou,https://uploads0.wikiart.org/images/gerrit-dou/the-dropsical-woman.jpg
27,A Bird,XX cent.,Huang Yongyu,https://uploads0.wikiart.org/images/huang-yongyu/a-bird-1.jpg
28,Sky Mirror,2001,Anish Kapoor,https://uploads7.wikiart.org/images/anish-kapoor/sky-mirror-2001.jpg
29,Chinese Geese,XX cent.,Charles Tunnicliffe,https://uploads6.wikiart.org/images/charles-tunnicliffe/chinese-geese(1).jpg
30,Holy Virgin in Glory,1430,Robert Campin,https://uploads0.wikiart.org/images/robert-campin/holy-virgin-in-glory-1430.jpg
31,Archangel,1986,Fernando Botero,https://uploads4.wikiart.org/images/fernando-botero/archangel.jpg
32,A large size mushaf,XV-XVI cent.,Ahmed Karahisari,https://uploads6.wikiart.org/images/ahmed-karahisari/a-large-size-mushaf.jpg
33,The Four Rivers Fountain,1648-1651,Gian Lorenzo Bernini,https://uploads5.wikiart.org/images/gian-lorenzo-bernini/the-four-rivers-fountain-1651(1).jpg
34,Kinomastushima,1940,Asano Takeji,https://uploads2.wikiart.org/images/asano-takeji/kinomastushima-1940.jpg
35,Rain,1967,Constantin Flondor,https://uploads0.wikiart.org/images/constantin-flondor/ploaie-1967.jpg
36,Musician with accordion/Blue bar,1926,Otto Gustav Carlsund,https://uploads1.wikiart.org/images/otto-gustav-carlsund/musician-with-accordion-blue-bar-1926.jpg
37,Postaci,1950,Wojciech Fangor,https://uploads7.wikiart.org/images/wojciech-fangor/postaci-1950.jpg
38,Avery,1968,Doug Ohlson,https://uploads1.wikiart.org/images/doug-ohlson/avery-1968.jpg
39,Fold,1966,Charlotte Posenenske,https://uploads5.wikiart.org/images/charlotte-posenenske/fold-1966-1(1).jpg
40,"Grand Canal, Venice",1898-1899,Maurice Prendergast,https://uploads8.wikiart.org/images/maurice-prendergast/grand-canal-venice.jpg
41,Forms of Trees and Clouds,XX cent.,Karl Schrag,https://uploads7.wikiart.org/images/karl-schrag/forms-of-trees-and-clouds.jpg
42,Monsieur Cactus,1939,Julio Gonzalez,https://uploads5.wikiart.org/images/julio-gonzalez/monsieur-cactus-1939.jpg
43,Lisbon Bouquet,1935,Carlos Botelho,https://uploads4.wikiart.org/images/carlos-botelho/lisbon-bouquet-1935.jpg
44,Party,XX cent.,Ligia Macovei,https://uploads7.wikiart.org/images/ligia-macovei/party.jpg
